Albury	ABC Local 675 AM
Albury	ABC Local 106.5 FM
Albury - Wodonga	2AY 1494 AM
Albury - Wodonga	The River 105.7 FM
Albury - Wodonga	Star 104.9 FM
Alexandra	ABC Local 102.9 FM
Alexandra	UGFM 106.9 FM
Alexandra	Star 93.7 FM
Altona	Stereo 97.4 FM
Anglesea	ABC Melbourne 774 AM
Apollo Bay	ABC Melbourne 774 AM
Apollo Bay	Mixx 95.9 FM
Ararat	ABC Local 107.9 FM
Ararat	Mixx 98.5 FM
Avoca	ABC Local 107.9 FM
Bacchus Marsh	ABC Melbourne 774 AM
Bairnsdale	ABC Local 828 FM
Bairnsdale	ABC Local 100.7 FM
Bairnsdale	TRFM 99.9 FM
Bacchus Marsh	ABC Melbourne 774 AM
Ballarat	ABC Local 107.9 FM
Ballarat	3BA 102.3 FM
Ballarat	Power 103.1 FM
Beaufort	ABC Local 107.9 FM
Beechworth	ABC Local 106.5 FM
Benalla	ABC Local 97.7 FM
Benalla	ABC Local 106.5 FM
Bendigo	ABC Local 91.1 FM
Bendigo	3BO 93.5 FM
Bendigo	Easymix Ten-71 AM
Bendigo	Easymix 98.3 FM
Bendigo	Star 91.9 FM
Bright	ABC Local 89.7 FM
Bright	Alpine Radio 92.9 FM
Bright	Alpine Radio 96.5 FM
Camperdown	ABC Local 107.9 FM
Cann River	ABC Local 106.1 FM
Casterton	ABC Local 94.1 FM
Castlemaine	ABC Local 91.1 FM
Central Victoria	ABC Local 91.1 FM
Charlton	ABC Local 594 AM
Cobden	ABC Local 107.9 FM
Cobram	ABC Local 97.7 FM
Cohuna	ABC Local 94.1 FM
Colac	ABC Local 594 AM
Colac	3CS 1134 AM
Colac	Mixx 106.3 FM
Coleraine	ABC Local 94.1 FM
Corryong	ABC Local 99.7 FM
Daylesford	ABC Local 91.1 FM
Deniliquin	2QN 1521 AM
Deniliquin	Classic Rock 102.5 FM
Dimboola	ABC Local 594 AM
Donald	ABC Local 594 AM
Echuca	ABC Local 97.7 FM
Echuca	ABC Local 91.1 FM
Echuca - Moama	2QN 1521 AM
Echuca - Moama	Classic Rock 102.5 FM
Edenhope	ABC Local 594 AM
Eildon	ABC Local 98.1 FM
Eildon	UGFM 106.9 FM
Eildon	Radio Mansfield 99.7 FM
Eltham	Plenty Valley 88.6 FM
Epping	Plenty Valley 88.6 FM
Essendon	Stereo 97.4 FM
Euroa	ABC Local 97.7 FM
Falls Creek	ABC Local 720 AM
Falls Creek	Alpine Radio 96.5 FM
Flowerdale	ABC Melbourne 774 AM
Flowerdale	UGFM 98.9 FM
Footscray	Stereo 97.4 FM
Foster	ABC Local 828 AM
Foster	ABC Local 100.7 FM
Geelong	ABC Melbourne 774 AM
Geelong	Bay 93.9 FM
Geelong	K-Rock 95.5 FM
Gippsland	ABC Local 828 AM
Gisborne	ABC Melbourne 774 AM
Goulburn Murray	ABC Local 106.5 FM
Goulburn Valley	ABC Local 97.7 FM
Greensborough	Plenty Valley 88.6 FM
Hamilton	ABC Local 94.1 FM
Hamilton	3HA 981 AM
Hamilton	Mixx 88.9 FM
Harrietville	Alpine Radio 92.9 FM
Hazeldene	ABC Local 97.3 FM
Hazeldene	UGFM 98.9 FM
Hastings	ABC Melbourne 774 AM
Healesville	ABC Melbourne 774 AM
Heywood	ABC Local 94.1 FM
Hopetown	ABC Local 594 AM
Horsham	ABC Local 594 AM
Horsham	3WM 1089 AM
Horsham	Mixx 101.3 FM
Hurstbridge	Plenty Valley 88.6 FM
Keilor	Stereo 97.4 FM
Kerang	ABC Local 102.1 FM
Kerang	Mixx 98.7 FM
Kilmore	ABC Melbourne 774 AM
Koo-wee-rup	ABC Melbourne 774 AM
Kyabram	ABC Local 97.7 FM
Kyabram	ABC Local 91.1 FM
Kyneton	ABC Local 91.1 FM
Lalor	Plenty Valley 88.6 FM
Lake Eildon	UGFM 106.9 FM
Lakes Entrance	ABC Local 828 AM
Lakes Entrance	ABC Local 100.7 FM
Lake Mountain	UGFM 98.5 FM
Latrobe Valley	ABC Local 100.7 FM
Leongatha	ABC Local 100.7 FM
Lorne	ABC Melbourne 774 AM
Lorne	Mixx 92.7 FM
Maffra	ABC Local 828 AM
Maffra	ABC Local 100.7 FM
Mallacoota	ABC Local 104.9 FM
Mansfield	ABC Local 103.7 FM
Mansfield	Radio Mansfield 99.7 FM
Mansfield	UGFM 106.9 FM
Maryborough	ABC Local 91.1 FM
Maryborough	ABC Local 107.9 FM
Marysville	UGFM 98.5 FM
Melbourne	ABC Melbourne 774 AM
Melbourne	3AW 693 AM
Melbourne	FOX 101.9 FM
Melbourne	Gold 104.3 FM
Melbourne	Magic 1278 AM
Melbourne	Mix 101.1 FM
Melbourne	NOVA 100.3 FM
Melbourne	SEN 1116 AM
Melbourne	Triple M 105.1 FM
Melbourne	Classic Rock 91.5 FM
Melbourne	Stereo 97.4 FM
Melbourne	Plenty Valley 88.6 FM
Melton	ABC Melbourne 774 AM
Mildura	ABC Local 104.3 FM
Mildura	3MA 97.9 FM
Mildura	Easymix 1467 AM
Mildura	Star 99.5 FM
Mildura â€“ Swan Hill	ABC Local 102.1 FM
Moe	ABC Local 828 AM
Moe	ABC Local 100.7 FM
Mooroopna	ABC Local 97.7 FM
Mooroopna	3SR 95.3 FM
Mooroopna	Star 96.9 FM
Mortlake	ABC Local 594 AM
Mortlake	ABC Local 107.9 FM
Morwell	ABC Local 828 AM
Morwell	ABC Local 100.7 FM
Mount Beauty	Alpine Radio 96.5 FM
Mount Beauty	ABC Local 106.5 FM
Mt Buller	Star 93.7 FM
Murray Valley	ABC Local 102.1 FM
Myrtleford	ABC Local 91.7 FM
Nagambie	ABC Local 97.7 FM
Nagambie	ABC Local 104.3 FM
Nathalia	ABC Local 97.7 FM
Nhill	ABC Local 594 AM
Nhill - Kaniva	Mixx 94.5 FM
Ocean Grove	ABC Melbourne 774 AM
Omeo	ABC Local 720 AM
Orbost	ABC Local 97.1 FM
Ouyen	ABC Local 594 AM
Ouyen	ABC Local 104.3 FM
Phillip Island	ABC Melbourne 774 AM
Port Fairy	ABC Local 1602 AM
Portland	ABC Local 96.9 FM
Portland	Mixx 93.7 FM
Puckapunyal	UGFM 88.9 FM
Queenscliff	ABC Melbourne 774 AM
Robinvale	ABC Local 594 AM
Robinvale	ABC Local 104.3 FM
Rosebud	ABC Melbourne 774 AM
Rushworth	ABC Local 91.1 FM
Rutherglen	ABC Local 106.5 FM
Sale	ABC Local 828 AM
Sale	ABC Local 100.7 FM
Sale - Gippsland	3GV Gold 1242 AM
Sale - Gippsland	TRFM 99.5 FM
Seymour	ABC Local 91.1 FM
Seymour	UGFM 88.9 FM
Shepparton	ABC Local 97.7 FM
Shepparton	3SR 95.3 FM
Shepparton	Star 96.9 FM
St. Arnaud	ABC Local 594 AM
St. Arnaud	ABC Local 107.9 FM
Stanhope	ABC Local 675 AM
Stanhope	ABC Local 91.1 FM
Stawell	ABC Local 107.9 FM
Sunbury	ABC Melbourne 774 AM
Sunshine	Stereo 97.4 FM
Swan Hill	ABC Local 102.1 FM
Swan Hill	3SH 1332 AM
Swan Hill	Mixx 107.7 FM
Swifts Creek	ABC Local 720 AM
Tallangatta	ABC Local 106.5 FM
Thomastown	Plenty Valley 88.6FM
Torquay	ABC Melbourne 774 AM
Trafalgar	ABC Local 828 AM
Trafalgar	ABC Local 100.7 FM
Traralgon	ABC Local 828 AM
Traralgon	ABC Local 100.7 FM
Upper Murray	ABC Local 106.5 FM
Wangaratta	ABC Local 106.5 FM
Wangaratta	ABC Local 97.7 FM
Wangaratta	Edge 102.1 FM
Wangaratta	3NE 1566 AM
Warburton	ABC Melbourne 774 AM
Warracknabeal	ABC Local 594 AM
Warragul	ABC Local 100.7 FM
Warragul	3GG 531 AM
Warragul	Star 94.3 FM
Warrnambool	ABC Local 1602 AM
Warrnambool	Coast 95.3 FM
Warrnambool	3YB 882 AM
Western Victoria	ABC Local 594 AM
Western Victoria	ABC Local 94.1 FM
Whittlesea	Plenty Valley 88.6 FM
Williamstown	Stereo 97.4 FM
Winchelsea	ABC Melbourne 774 AM
Wodonga	ABC Local 675 AM
Wodonga	ABC Local 106.5 FM
Wonthaggi	ABC Melbourne 774 AM
Woodend	ABC Melbourne 774 AM
Woodend	ABC Local 91.1 FM
Yallourn	ABC Local 828 AM
Yallourn	ABC Local 100.7 FM
Yarram	ABC Local 828 AM
Yarram	ABC Local 100.7 FM
Yarrawonga	ABC Local 97.7 FM
Yarrawonga	ABC Local 106.5 FM
Yea	ABC Local 91.1 FM
Yea	Star 93.7 FM
Yea	UGFM 88.9 FM
